Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Volcarona,Bug Bite,Bug Buzz,Fire Spin,Hurricane,Overheat,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalion,Close Combat,Iron Head,Metal Claw,Stone Edge,Zen Headbutt,* Sacred Sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrakion,Close Combat,Earthquake,Rock Slide,Smack Down,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virizion,Close Combat,Leaf Blade,Quick Attack,Stone Edge,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornadus,Air Slash,Bite,Dark Pulse,Grass Knot,Hurricane,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornadus-Therian,Astonish,Focus Blast,Gust,Heat Wave,Hurricane,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Astonish,Brick Break,Crunch,Thunder,Thunder Punch,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus-Therian,Bite,Focus Blast,Sludge Wave,Thunder,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshiram,Crunch,Draco Meteor,Dragon Breath,Fire Fang,Overheat,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zekrom,Charge Beam,Crunch,Dragon Breath,Flash Cannon,Outrage,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landorus,Earth Power,Focus Blast,Mud Shot,Outrage,Rock Slide,Rock Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landorus-Therian,Bulldoze,Earthquake,Extrasensory,Mud Shot,Stone Edge,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyurem,Blizzard,Draco Meteor,Dragon Breath,Dragon Claw,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keldeo,Aqua Jet,Close Combat,Hydro Pump,Low Kick,Poison Jab,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meloetta,Confusion,Dazzling Gleam,Hyper Beam,Psyshock,Quick Attack,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesect,Fury Cutter,Hyper Beam,Magnet Bomb,Metal Claw,X-Scissor,* Techno Blast (Burn),* Techno Blast (Douse),* Techno Blast (Chill),* Techno Blast (Normal),* Techno Blast (Shock),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chespin,Body Slam,Gyro Ball,Seed Bomb,Take Down,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilladin,Body Slam,Energy Ball,Gyro Ball,Low Kick,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesnaught,Energy Ball,Gyro Ball,Low Kick,Smack Down,Solar Beam,Superpower,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fennekin,Ember,Flame Charge,Flamethrower,Psyshock,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braixen,Ember,Flame Charge,Flamethrower,Psyshock,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphox,Fire Blast,Fire Spin,Flame Charge,Flamethrower,Psychic,Scratch,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Froakie,Aerial Ace,Bubble,Pound,Surf,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frogadier,Aerial Ace,Bubble,Pound,Surf,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greninja,Aerial Ace,Bubble,Feint Attack,Hydro Pump,Night Slash,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greninja-Ash,Aerial Ace,Bubble,Feint Attack,Hydro Pump,Night Slash,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnelby,Bulldoze,Dig,Earthquake,Mud Slap,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diggersby,Dig,Earthquake,Fire Punch,Hyper Beam,Mud Shot,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletchling,Aerial Ace,Heat Wave,Peck,Quick Attack,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fletchinder,Aerial Ace,Ember,Flame Charge,Heat Wave,Peck,Steel Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talonflame,Brave Bird,Fire Blast,Fire Spin,Flame Charge,Hurricane,Peck,Steel Wing,* Incinerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scatterbug,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spewpa,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon,Aerial Ace,Bug Bite,Bug Buzz,Energy Ball,Gust,Hurricane,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litleo,Crunch,Ember,Fire Fang,Flame Charge,Flamethrower,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyroar,Dark Pulse,Ember,Fire Fang,Flame Charge,Overheat,Solar Beam,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flabébé,Dazzling Gleam,Petal Blizzard,Psychic,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floette,Dazzling Gleam,Petal Blizzard,Psychic,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florges,Disarming Voice,Moonblast,Petal Blizzard,Psychic,Razor Leaf,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skiddo,Brick Break,Rock Slide,Rock Smash,Seed Bomb,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gogoat,Brick Break,Leaf Blade,Rock Slide,Rock Smash,Seed Bomb,Vine Whip,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancham,Body Slam,Crunch,Low Kick,Low Sweep,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangoro,Bullet Punch,Close Combat,Iron Head,Low Kick,Night Slash,Rock Slide,Snarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furfrou,Bite,Dark Pulse,Grass Knot,Sucker Punch,Surf,Take Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espurr,Confusion,Energy Ball,Psychic,Psyshock,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowstic,Charm,Confusion,Energy Ball,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowstic-F,Charm,Confusion,Energy Ball,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowstic-M,Charm,Confusion,Energy Ball,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honedge,Fury Cutter,Gyro Ball,Iron Head,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doublade,Fury Cutter,Gyro Ball,Iron Head,Psycho Cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegislash,Flash Cannon,Fury Cutter,Gyro Ball,Psycho Cut,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegislash-Blade,Flash Cannon,Fury Cutter,Gyro Ball,Psycho Cut,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spritzee,Charge Beam,Charm,Draining Kiss,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromatisse,Charge Beam,Charm,Draining Kiss,Moonblast,Psychic,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swirlix,Draining Kiss,Energy Ball,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slurpuff,Charm,Draining Kiss,Energy Ball,Flamethrower,Play Rough,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inkay,Night Slash,Peck,Psybeam,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malamar,Foul Play,Hyper Beam,Peck,Psybeam,Psycho Cut,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binacle,Ancient Power,Cross Chop,Dig,Mud Slap,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaracle,Cross Chop,Fury Cutter,Grass Knot,Mud Slap,Skull Bash,Stone Edge,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skrelp,Acid,Aqua Tail,Sludge Bomb,Twister,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragalge,Acid,Aqua Tail,Dragon Tail,Gunk Shot,Hydro Pump,Outrage,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clauncher,Aqua Jet,Crabhammer,Smack Down,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clawitzer,Crabhammer,Dark Pulse,Ice Beam,Smack Down,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helioptile,Bulldoze,Discharge,Parabolic Charge,Quick Attack,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliolisk,Bulldoze,Grass Knot,Mud Slap,Parabolic Charge,Quick Attack,Thunderbolt,Volt Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrunt,Ancient Power,Dragon Claw,Dragon Tail,Stomp,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrantrum,Charm,Crunch,Dragon Tail,Earthquake,Outrage,Rock Throw,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaura,Ancient Power,Aurora Beam,Frost Breath,Powder Snow,Thunderbolt,Weather Ball Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurorus,Ancient Power,Blizzard,Frost Breath,Hyper Beam,Powder Snow,Rock Throw,Thunderbolt,Weather Ball Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylveon,Charm,Dazzling Gleam,Draining Kiss,Moonblast,Quick Attack,* Last Resort,* Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawlucha,Flying Press,Low Kick,Poison Jab,Power-Up Punch,Sky Attack,Wing Attack,X-Scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedenne,Discharge,Parabolic Charge,Play Rough,Tackle,Thunder Shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbink,Moonblast,Power Gem,Rock Slide,Rock Throw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goomy,Dragon Pulse,Muddy Water,Sludge Wave,Tackle,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliggoo,Dragon Pulse,Muddy Water,Sludge Wave,Tackle,Water Gun,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodra,Draco Meteor,Dragon Breath,Muddy Water,Power Whip,Sludge Wave,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klefki,Astonish,Draining Kiss,Flash Cannon,Foul Play,Play Rough,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phantump,Astonish,Foul Play,Seed Bomb,Shadow Ball,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevenant,Foul Play,Seed Bomb,Shadow Ball,Shadow Claw,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkaboo,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkaboo-Large,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkaboo-Small,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkaboo-Super,Astonish,Earthquake,Foul Play,Grass Knot,Razor Leaf,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourgeist,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourgeist-Large,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourgeist-Small,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourgeist-Super,Fire Blast,Foul Play,Hex,Razor Leaf,Seed Bomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergmite,Bite,Crunch,Icy Wind,Mirror Coat,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalugg,Avalanche,Bite,Body Slam,Crunch,Earthquake,Ice Fang,Mirror Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noibat,Air Cutter,Bite,Dragon Pulse,Heat Wave,Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noivern,Air Slash,Bite,Draco Meteor,Heat Wave,Hurricane,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xerneas,Close Combat,Giga Impact,Megahorn,Moonblast,Tackle,Thunder,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yveltal,Dark Pulse,Focus Blast,Gust,Hurricane,Hyper Beam,Psychic,Snarl,Sucker Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zygarde-Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diancie,Moonblast,Power Gem,Rock Slide,Rock Throw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diancie-Mega,Moonblast,Power Gem,Rock Slide,Rock Throw,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopa-Unbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopa,Confusion,Astonish,Shadow Ball,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopa-Confined,Confusion,Astonish,Shadow Ball,Psybeam,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoopa-Unbound,Confusion,Astonish,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanion,Incinerate,Water Gun,Take Down,Hydro Pump,Overheat,Earth Power,Sludge Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meltan,Flash Cannon,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melmetal,Flash Cannon,Hyper Beam,Rock Slide,Superpower,Thunder Shock,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grookey,Scratch,Razor Leaf,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thwackey,Scratch,Razor Leaf,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rillaboom,Scratch,Razor Leaf,Energy Ball,Grass Knot,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorbunny,Tackle,Ember,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raboot,Tackle,Ember,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderace,Tackle,Ember,Flame Charge,Flamethrower,Focus Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobble,Pound,Water Gun,Water Pulse,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drizzile,Pound,Water Gun,Water Pulse,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inteleon,Pound,Water Gun,Water Pulse,Surf,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skwovet,Tackle,Bite,Bullet Seed,Body Slam,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedent,Tackle,Bite,Bullet Seed,Body Slam,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rookidee,Peck,Air Slash,Drill Peck,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corvisquire,Peck,Air Slash,Drill Peck,Brave Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corviknight,Steel Wing,Air Slash,Drill Peck,Brave Bird,Iron Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blipbug,Struggle Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dottler,Struggle Bug,Confusion,Bug Buzz,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbeetle,Struggle Bug,Confusion,Bug Buzz,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickit,Quick Attack,Snarl,Night Slash,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thievul,Quick Attack,Snarl,Night Slash,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gossifleur,Razor Leaf,Bullet Seed,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldegoss,Razor Leaf,Bullet Seed,Energy Ball,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wooloo,Tackle,Take Down,Wild Charge,Payback,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubwool,Tackle,Take Down,Wild Charge,Payback,Body Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chewtle,Water Gun,Bite,Body Slam,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drednaw,Waterfall,Bite,Body Slam,Surf,Rock Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamper,Spark,Bite,Crunch,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boltund,Spark,Bite,Crunch,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolycoly,Smack Down,Tackle,Rock Blast,Rock Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carkol,Smack Down,Incinerate,Rock Blast,Rock Slide,Flame Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalossal,Smack Down,Incinerate,Rock Blast,Rock Slide,Flame Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applin,Astonish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flapple,Bullet Seed,Dragon Breath,Dragon Pulse,Fly,Outrage,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appletun,Bullet Seed,Astonish,Dragon Pulse,Energy Ball,Outrage,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicobra,Mud Slap,Mud Shot,Dig,Bulldoze,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandaconda,Mud Slap,Mud Shot,Dig,Bulldoze,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cramorant,Peck,Water Gun,Drill Peck,Fly,Hydro Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrokuda,Waterfall,Bite,Peck,Crunch,Aqua Jet,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barraskewda,Waterfall,Bite,Peck,Crunch,Aqua Jet,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxel,Acid,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxtricity,Acid,Spark,Poison Jab,Acid Spray,Discharge,Wild Charge,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxtricity-Amped,Acid,Spark,Poison Jab,Acid Spray,Discharge,Wild Charge,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxtricity-Low Key,Acid,Spark,Poison Jab,Acid Spray,Discharge,Wild Charge,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sizzlipede,Bug Bite,Ember,Heat Wave,Bug Buzz,Crunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centiskorch,Bug Bite,Ember,Heat Wave,Bug Buzz,Crunch,Lunge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clobbopus,Rock Smash,Brick Break,Super Power,Ice Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapploct,Rock Smash,Waterfall,Brick Break,Super Power,Ice Punch,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinistea,Astonish,Sucker Punch,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinistea-Antique,Astonish,Sucker Punch,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinistea-Phony,Astonish,Sucker Punch,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polteageist,Astonish,Sucker Punch,Hex,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polteageist-Antique,Astonish,Sucker Punch,Hex,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polteageist-Phony,Astonish,Sucker Punch,Hex,Shadow Ball,Dark Pulse,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatenna,Confusion,Charm,Psybeam,Psychic,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattrem,Confusion,Charm,Psybeam,Psychic,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatterene,Confusion,Charm,Psycho Cut,Psybeam,Psychic,Dazzling Gleam,Power Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impidimp,Bite,Sucker Punch,Foul Play,Dark Pulse,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgrem,Bite,Sucker Punch,Foul Play,Dark Pulse,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimmsnarl,Bite,Sucker Punch,Low Kick,Foul Play,Dark Pulse,Play Rough,Power Up Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obstagoon,Counter,Cross Chop,Gunk Shot,Hyper Beam,Lick,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perrserker,Close Combat,Foul Play,Iron Head,Metal Claw,Play Rough,Shadow Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursola,Astonish,Hex,Rock Blast,Brine,Night Shade,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirfetch'd,Brave Bird,Close Combat,Counter,Fury Cutter,Leaf Blade,Night Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Rime,Confusion,Zen Headbutt,Ice Shard,Psybeam,Psychic,Ice Punch,Icy Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runerigus,Astonish,Rock Tomb,Sand Tomb,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milcery,Tackle,Charm,Dazzling Gleam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcremie,Tackle,Charm,Dazzling Gleam,Psyshock,Energy Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falinks,Rock Smash,Counter,Super Power,Brick Break,Megahorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pincurchin,Thunder Shock,Water Gun,Poison Jab,Discharge,Thunderbolt,Bubble Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snom,Powder Snow,Struggle Bug,Icy Wind,Bug Buzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frosmoth,Powder Snow,Bug Bite,Icy Wind,Bug Buzz,Ice Beam,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonjourner,Rock Throw,Stone Edge,Rock Slide,Stomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiscue,Powder Snow,Icy Wind,Weather Ball Ice,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiscue Ice,Powder Snow,Icy Wind,Weather Ball Ice,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eiscue Noice,Powder Snow,Icy Wind,Weather Ball Ice,Surf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeedee,Extrasensory,Psybeam,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeedee-Female,Extrasensory,Psybeam,Psychic,Energy Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeedee-Male,Extrasensory,Psybeam,Psychic,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
